Title,Detail_price,Highlights,Other_Details,description,Teams_conditions,images_all
Liberty - Navy Men's Sports Running Shoes,1599,"Liberty,Color: Navy,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL787192886","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,LIBERTY SHOES LIMITED, 13TH MILE STONE, G.T. KARNAL ROAD, KUTAIL, P.O.BASTARA, DISTRICT KARNAL - 131028, HARYANA   ,Packer's Name & Address,LIBERTY SHOES LIMITED, 13TH MILE STONE, G.T. KARNAL ROAD, KUTAIL, P.O.BASTARA, DISTRICT KARNAL - 131028, HARYANA   ,Marketer's Name & Address, ,Importer's Name & Address,LIBERTY SHOES LIMITED, 13TH MILE STONE, G.T. KARNAL ROAD, KUTAIL, P.O.BASTARA, DISTRICT KARNAL - 131028, HARYANA   ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/k/l/o/Liberty-Navy-Men-s-Sports-SDL787192886-2-71023.jpeg,https://n1.sdlcdn.com/imgs/k/l/o/Liberty-Navy-Men-s-Sports-SDL787192886-3-c7aa4.jpeg,https://n4.sdlcdn.com/imgs/k/l/o/Liberty-Navy-Men-s-Sports-SDL787192886-4-45069.jpeg,https://n3.sdlcdn.com/imgs/k/l/o/Liberty-Navy-Men-s-Sports-SDL787192886-5-013df.jpeg,https://n4.sdlcdn.com/imgs/k/l/o/Liberty-Navy-Men-s-Sports-SDL787192886-6-16063.jpeg,https://n4.sdlcdn.com/imgs/k/l/o/Liberty-Navy-Men-s-Sports-SDL787192886-7-a0930.jpeg,https://n2.sdlcdn.com/imgs/k/l/o/Liberty-Navy-Men-s-Sports-SDL787192886-8-bdef1.jpeg"
ASIAN - SELTOS-08 Black Men's Sports Running Shoes,699,"ASIAN,Color:Black,Shoe Weight:Light Weight,Manufacturer's Name & Address:Plot No-303, Sec-17 Hsiidc Indl. Estate Footwear Park, Bahadurgarh, Haryana 124507,Sole Material:EVA,Closure:Lace-Up,Outer Material:Mesh,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL526984764","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Plot No-303, Sec-17 Hsiidc Indl. Estate Footwear Park, Bahadurgarh, Haryana 124507  ,Packer's Name & Address,T1/100 BASEMENT GF-1/2, INDUSTRIAL AREA PHASE-1 MANGOLPURI, New Delhi, Delhi, 110083, IN  ,Marketer's Name & Address, ,Importer's Name & Address,Not Applicable  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/k/a/z/ASIAN-SELTOS-08-Black-Running-SDL526984764-4-6c09d.jpeg,https://n1.sdlcdn.com/imgs/k/a/z/ASIAN-SELTOS-08-Black-Running-SDL526984764-6-6c062.jpeg,https://n3.sdlcdn.com/imgs/k/a/z/ASIAN-SELTOS-08-Black-Running-SDL526984764-5-c7318.jpeg,https://n3.sdlcdn.com/imgs/k/a/z/ASIAN-SELTOS-08-Black-Running-SDL526984764-3-73e54.jpeg,https://n3.sdlcdn.com/imgs/k/k/5/ASIAN-SELTOS-08-Black-Men-SDL526984764-6-caa17.jpeg"
Columbus  Red  Men's Sports Running Shoes,699,"Columbus,Color: Navy,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL312481898","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Hallelu Global Distribution Co.Pvt Ltd. K-93,Udyog Nagar,New Delhi-110041 Tel-011-25473087  ,Packer's Name & Address,Hallelu Global Distribution Co.Pvt Ltd. K-93,Udyog Nagar,New Delhi-110041 Tel-011-25473087  ,Marketer's Name & Address, ,Importer's Name & Address,Hallelu Global Distribution Co.Pvt Ltd. K-93,Udyog Nagar,New Delhi-110041 Tel-011-25473087  ","
Shoes are designed to keeping in mind durability as well as trends, We Have the most stylish range of shoes in Columbus.. They are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort.",The images represent actual product though color of the image and product may slightly differ.,"https://n4.sdlcdn.com/imgs/j/r/c/Columbus-West-Red-Running-Shoes-SDL312481898-2-446f6.jpg,https://n2.sdlcdn.com/imgs/j/r/c/Columbus-West-Red-Running-Shoes-SDL312481898-3-3db86.jpg,https://n1.sdlcdn.com/imgs/j/r/c/Columbus-West-Red-Running-Shoes-SDL312481898-4-3251f.jpg"
Campus DRAGON White  Men's Sports Running Shoes,1799,"Campus,Color: White,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL068182015","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1 pair of shoes  ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ","
Campus Activewear Pvt. Ltd.D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/j/b/9/Campus-DRAGON-White-Running-Shoes-SDL068182015-2-8a02c.jpeg,https://n1.sdlcdn.com/imgs/j/b/9/Campus-DRAGON-White-Running-Shoes-SDL068182015-4-04d57.jpeg,https://n2.sdlcdn.com/imgs/j/b/9/Campus-DRAGON-White-Running-Shoes-SDL068182015-3-beb8c.jpeg,https://n1.sdlcdn.com/imgs/j/b/9/Campus-DRAGON-White-Running-Shoes-SDL068182015-5-fc905.jpeg"
ASIAN  Navy  Men's Sports Running Shoes,575,"ASIAN,Color: Navy,Running Type: Road,Outer Material: Mesh,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL935124912","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,T1/100 BASEMENT GF-1/2, INDUSTRIAL AREA PHASE-1 MANGOLPURI, New Delhi, Delhi, 110083, IN  ,Packer's Name & Address,T1/100 BASEMENT GF-1/2, INDUSTRIAL AREA PHASE-1 MANGOLPURI, New Delhi, Delhi, 110083, IN  ,Marketer's Name & Address, ,Importer's Name & Address,Not Applicable  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/j/e/8/ASIAN-Navy-Casual-Shoes-SDL935124912-6-59cd6.jpg,https://n3.sdlcdn.com/imgs/j/e/8/ASIAN-Navy-Casual-Shoes-SDL935124912-7-032d2.jpg,https://n1.sdlcdn.com/imgs/j/e/8/ASIAN-Navy-Casual-Shoes-SDL935124912-5-bceab.jpg,https://n3.sdlcdn.com/imgs/j/e/8/ASIAN-Navy-Casual-Shoes-SDL935124912-4-d8e58.jpg,https://n4.sdlcdn.com/imgs/k/k/z/ASIAN-Navy-Men-s-Sports-SDL935124912-6-b632b.jpeg,https://n3.sdlcdn.com/imgs/j/e/8/ASIAN-Navy-Casual-Shoes-SDL935124912-7-032d2.jpg"
Campus ELECTRO Blue Running Shoes,1749,"Color:Blue,Shoe Weight:Light Weight,Manufacturer's Name & Address:Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041,SUPC: SDL290110437","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
Electro comes with a high rebound foam designed to inject new levels of energy and comfort with substantially more rebound than normal EVA mid-soles. The foam compound injects spring and bounce to each stride.",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/j/y/b/Campus-ELECTRO-Blue-Running-Shoes-SDL290110437-2-7c179.jpg,https://n3.sdlcdn.com/imgs/j/y/b/Campus-ELECTRO-Blue-Running-Shoes-SDL290110437-3-46fc5.jpg,https://n4.sdlcdn.com/imgs/j/y/b/Campus-ELECTRO-Blue-Running-Shoes-SDL290110437-4-ed74b.jpg,https://n2.sdlcdn.com/imgs/j/y/b/Campus-ELECTRO-Blue-Running-Shoes-SDL290110437-5-d0269.jpg,https://n4.sdlcdn.com/imgs/j/y/b/Campus-ELECTRO-Blue-Running-Shoes-SDL290110437-6-83dab.jpg"
Columbus  Navy  Men's Sports Running Shoes,1049,"Columbus,Color: White,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning:,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL022091255","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Hallelu Global Distribution Co.Pvt Ltd. K-93,Udyog Nagar,New Delhi-110041 Tel-011-25472986  ,Packer's Name & Address,Hallelu Global Distribution Co.Pvt Ltd. K-93,Udyog Nagar,New Delhi-110041 Tel-011-25472986  ,Marketer's Name & Address, ,Importer's Name & Address,Hallelu Global Distribution Co.Pvt Ltd. K-93,Udyog Nagar,New Delhi-110041 Tel-011-25472986  ","
Shoes are designed to keeping in mind durability as well as trends, We Have the most stylish range of shoes in Columbus.. They are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort.",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/j/r/c/Columbus-Jumper-Navy-Running-Shoes-SDL022091255-2-192a9.jpg,https://n2.sdlcdn.com/imgs/j/r/c/Columbus-Jumper-Navy-Running-Shoes-SDL022091255-3-fd862.jpg,https://n3.sdlcdn.com/imgs/j/r/c/Columbus-Jumper-Navy-Running-Shoes-SDL022091255-4-5cec2.jpg"
Columbus Navy Running Shoes,1789,"Color:Navy,Manufacturer's Name & Address:COLUMBUS MARKETING PVT.LTD.H-26 1st Floor Udyog Nagar New Delhi,SUPC: SDL119024857","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,COLUMBUS MARKETING PVT.LTD.H-26 1st Floor Udyog Nagar New Delhi  ,Packer's Name & Address,K-93,Udyog Nagar,New Delhi-110041 Tel-011-25472881  ,Marketer's Name & Address, ,Importer's Name & Address,COLUMBUS MARKETING PVT.LTD.H-26 1st Floor Udyog Nagar New Delhi  ","
Shoes are designed to keeping in mind durability as well as trends, We Have the most stylish range of shoes in Columbus.. They are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort.",The images represent actual product though color of the image and product may slightly differ.,"https://n4.sdlcdn.com/imgs/j/t/7/Columbus-Navy-Running-Shoes-SDL119024857-2-bc443.jpg,https://n3.sdlcdn.com/imgs/j/t/7/Columbus-Navy-Running-Shoes-SDL119024857-3-6847a.jpg,https://n4.sdlcdn.com/imgs/j/t/7/Columbus-Navy-Running-Shoes-SDL119024857-4-7565a.jpg,https://n3.sdlcdn.com/imgs/j/t/7/Columbus-Navy-Running-Shoes-SDL119024857-5-211b6.jpg,https://n1.sdlcdn.com/imgs/j/t/7/Columbus-Navy-Running-Shoes-SDL119024857-6-3f280.jpg,https://n3.sdlcdn.com/imgs/j/t/7/Columbus-Navy-Running-Shoes-SDL119024857-7-d3230.jpg,https://n2.sdlcdn.com/imgs/j/t/7/Columbus-Navy-Running-Shoes-SDL119024857-8-e946d.jpg"
Campus BELGIUM PLUS Black  Men's Sports Running Shoes,899,"Campus,Color: Black,Running Type: Road,Outer Material: Mesh,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL140728093","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
Ensure complete foot protection while you run by wearing this pair from Campus. The use of PilloFoam technology is engineered to be pressure set in order to have a cell structure that's consistant with 50% more cushioning than normal EVA mid-sole and phylon sole provide the required support and stability to your feet. The sturdy mesh upper keeps your feet comfortable and allows you to indulge in your running sessions for long periods. Wear it with a pair of track pants and a T-shirt.",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/j/u/g/Campus-BELGIUM-PLUS-Black-Running-SDL140728093-2-da1cc.jpeg,https://n2.sdlcdn.com/imgs/j/u/g/Campus-BELGIUM-PLUS-Black-Running-SDL140728093-3-483e4.jpeg,https://n2.sdlcdn.com/imgs/j/u/g/Campus-BELGIUM-PLUS-Black-Running-SDL140728093-4-c8079.jpeg,https://n4.sdlcdn.com/imgs/j/u/g/Campus-BELGIUM-PLUS-Black-Running-SDL140728093-5-0d752.jpeg,https://n4.sdlcdn.com/imgs/j/u/g/Campus-BELGIUM-PLUS-Black-Running-SDL140728093-6-e4a7f.jpeg"
FURO  Blue  Men's Sports Running Shoes,999,"FURO,Color: Blue,Running Type: Road,Outer Material: Mesh,Closure: Slip-On,Cushioning: Medium,Sole Material: PU,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL976336826","Country of Origin or Manufacture or Assembly,India ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Leayan Global Pvt Ltd  ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
Furo By Red Chief Blue Walking Sports Shoe  For Men (W3012 C863)",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/i/5/b/FURO-By-Red-Chief-W3012-SDL976336826-2-b503d.jpeg,https://n4.sdlcdn.com/imgs/i/5/b/FURO-By-Red-Chief-W3012-SDL976336826-3-7198c.jpeg,https://n1.sdlcdn.com/imgs/i/5/b/FURO-By-Red-Chief-W3012-SDL976336826-4-64468.jpeg,https://n2.sdlcdn.com/imgs/i/5/b/FURO-By-Red-Chief-W3012-SDL976336826-5-5028c.jpeg,https://n3.sdlcdn.com/imgs/i/5/b/FURO-By-Red-Chief-W3012-SDL976336826-6-5b80e.jpeg"
Columbus Gray Running Shoes,789,"Color:Gray,Shoe Weight:Light Weight,Manufacturer's Name & Address:COLUMBUS MARKETING PVT.LTD.,SUPC: SDL762629917","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,COLUMBUS MARKETING PVT.LTD.  ,Packer's Name & Address,GODOWN AT NEW PLOT NO-D-40 ( OLD NO-40 ),KH.NO-31/7 MEERA ENCLAVE NANGLOI -110041  ,Marketer's Name & Address, ,Importer's Name & Address,GODOWN AT NEW PLOT NO-D-40 ( OLD NO-40 ),KH.NO-31/7 MEERA ENCLAVE NANGLOI -110041  ","
Run for miles with more comfort wearing these running shoes from Columbus. The synthetic upper and mesh lining of these shoes for men ensures air permeability. Rubber sole offers all day comfort",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/k/d/8/Columbus-Gray-Running-Shoes-SDL762629917-2-33cd9.jpg,https://n1.sdlcdn.com/imgs/k/d/8/Columbus-Gray-Running-Shoes-SDL762629917-3-0f6fc.jpg,https://n3.sdlcdn.com/imgs/k/d/8/Columbus-Gray-Running-Shoes-SDL762629917-4-b4cfc.jpg,https://n1.sdlcdn.com/imgs/k/d/8/Columbus-Gray-Running-Shoes-SDL762629917-5-1f23a.jpg"
Columbus  Black  Men's Sports Running Shoes,1409,"Columbus,Color: Navy,Running Type: Road,Outer Material: Mesh,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL754123429","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,COLUMBUS MARKETING PVT.LTD.H-26 1st Floor Udyog Nagar New Delhi  ,Packer's Name & Address,K-93,Udyog Nagar,New Delhi-110041 Tel-011-25472881  ,Marketer's Name & Address, ,Importer's Name & Address,COLUMBUS MARKETING PVT.LTD.H-26 1st Floor Udyog Nagar New Delhi  ","
Shoes are designed to keeping in mind durability as well as trends, We Have the most stylish range of shoes in Columbus.. They are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort.",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/j/t/7/Columbus-Black-Running-Shoes-SDL754123429-2-877cb.jpg,https://n3.sdlcdn.com/imgs/j/t/7/Columbus-Black-Running-Shoes-SDL754123429-3-fc7f7.jpg,https://n1.sdlcdn.com/imgs/j/t/7/Columbus-Black-Running-Shoes-SDL754123429-4-cf263.jpg,https://n2.sdlcdn.com/imgs/j/t/7/Columbus-Black-Running-Shoes-SDL754123429-5-5fed2.jpg,https://n4.sdlcdn.com/imgs/j/t/7/Columbus-Black-Running-Shoes-SDL754123429-6-7f66b.jpg,https://n3.sdlcdn.com/imgs/j/t/7/Columbus-Black-Running-Shoes-SDL754123429-7-44f0a.jpg,https://n4.sdlcdn.com/imgs/j/t/7/Columbus-Black-Running-Shoes-SDL754123429-8-5d3e2.jpg"
FURO By Red Chief R1038 Black Running Shoes,1799,"Color:Black,Shoe Weight:Lightweight(300 gms to 599 gms),Manufacturer's Name & Address:Leayan Global Pvt. Ltd.,SUPC: SDL680614996","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Leayan Global Pvt. Ltd.  ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
Furo by Red Chief Black/Grey Running Sports Shoes For Men's",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/j/b/9/FURO-By-Red-Chief-R1038-SDL680614996-2-89896.jpeg,https://n4.sdlcdn.com/imgs/j/b/9/FURO-By-Red-Chief-R1038-SDL680614996-3-79c3c.jpeg,https://n4.sdlcdn.com/imgs/j/b/9/FURO-By-Red-Chief-R1038-SDL680614996-4-a1d15.jpeg,https://n3.sdlcdn.com/imgs/j/b/9/FURO-By-Red-Chief-R1038-SDL680614996-5-2338d.jpeg,https://n2.sdlcdn.com/imgs/j/b/9/FURO-By-Red-Chief-R1038-SDL680614996-6-552b4.jpeg,https://n1.sdlcdn.com/imgs/j/b/9/FURO-By-Red-Chief-R1038-SDL680614996-7-f0583.jpeg"
Campus - JANET Blue Men's Sports Running Shoes,539,"Campus,Color:Blue,Manufacturer's Name & Address:Campus Activewear Pvt. Ltd.D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL836717123","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1-PAIR  ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd.D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
Janet is built for the go getter in you, whether you're a seasoned veteran or just starting out. It features a breathable and durable upper and down below, the cushioning has been updated to deliver a smoother, more natural stride.",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/j/d/a/Campus-Blue-Casual-Shoes-SDL836717123-2-f96f4.jpeg,https://n4.sdlcdn.com/imgs/j/d/a/Campus-Blue-Casual-Shoes-SDL836717123-3-bf9af.jpeg,https://n4.sdlcdn.com/imgs/j/d/a/Campus-Blue-Casual-Shoes-SDL836717123-4-d26ed.jpeg,https://n1.sdlcdn.com/imgs/j/d/a/Campus-Blue-Casual-Shoes-SDL836717123-5-cbd55.jpeg"
Campus BOOMER (N) Beige Running Shoes,899,"Color:Beige,Shoe Weight:Light Weight,Manufacturer's Name & Address:Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041,SUPC: SDL508197466","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
Highlight your style quotient with this pair of Running shoes for women from Campus. Made of a superior quality knitted mesh upper, these cool lace-up shoes feature a lace closure, and a perfect shaped tip and phylon sole for flexibility. The foam insole provides comfortable movement to your feet.",The images represent actual product though color of the image and product may slightly differ.,"https://n4.sdlcdn.com/imgs/j/y/v/Campus-BOOMER-N-Beige-Running-SDL508197466-2-cc3cd.jpeg,https://n2.sdlcdn.com/imgs/j/y/v/Campus-BOOMER-N-Beige-Running-SDL508197466-3-78aba.jpeg,https://n1.sdlcdn.com/imgs/j/y/v/Campus-BOOMER-N-Beige-Running-SDL508197466-4-465df.jpeg,https://n1.sdlcdn.com/imgs/j/y/v/Campus-BOOMER-N-Beige-Running-SDL508197466-5-3de4d.jpeg,https://n2.sdlcdn.com/imgs/j/y/v/Campus-BOOMER-N-Beige-Running-SDL508197466-6-3bf29.jpeg"
Campus ALGERIA Blue  Men's Sports Running Shoes,1199,"Campus,Color: Blue,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: High,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL331179956","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
Algeria is a has the softest cushion thanks to the pillofoam technology. It's a perfect shoe to style with casualwear.",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/j/v/q/Campus-ALGERIA-Blue-Running-Shoes-SDL331179956-2-d27d0.jpg,https://n3.sdlcdn.com/imgs/j/v/q/Campus-ALGERIA-Blue-Running-Shoes-SDL331179956-3-de2f7.jpg,https://n1.sdlcdn.com/imgs/j/v/q/Campus-ALGERIA-Blue-Running-Shoes-SDL331179956-4-72a5b.jpg,https://n2.sdlcdn.com/imgs/j/v/q/Campus-ALGERIA-Blue-Running-Shoes-SDL331179956-5-f445b.jpg,https://n3.sdlcdn.com/imgs/j/v/q/Campus-ALGERIA-Blue-Running-Shoes-SDL331179956-6-b0c8b.jpg"
FURO  Blue  Men's Sports Running Shoes,999,"FURO,Color: Blue,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning:,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL913117876","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Leayan Global Pvt Ltd  ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
Furo By Red Chief Blue Men Running / Walking Sports Shoes W3023 F014",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/i/9/2/FURO-By-Red-Chief-W3023-SDL913117876-2-15414.jpeg,https://n2.sdlcdn.com/imgs/i/9/2/FURO-By-Red-Chief-W3023-SDL913117876-3-4afdb.jpeg,https://n2.sdlcdn.com/imgs/i/9/2/FURO-By-Red-Chief-W3023-SDL913117876-4-51f82.jpeg,https://n2.sdlcdn.com/imgs/i/9/2/FURO-By-Red-Chief-W3023-SDL913117876-5-47c98.jpeg,https://n4.sdlcdn.com/imgs/i/9/2/FURO-By-Red-Chief-W3023-SDL913117876-6-93732.jpeg,https://n2.sdlcdn.com/imgs/i/9/2/FURO-By-Red-Chief-W3023-SDL913117876-7-15807.jpeg,https://n4.sdlcdn.com/imgs/i/9/2/FURO-By-Red-Chief-W3023-SDL913117876-8-2e427.jpeg"
FURO  Grey Men's Sports Running Shoes,1499,"FURO,Color: Gray,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning:,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL469040110","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Leayanglobal Private Limited (OFFICE -Plot no-102,103,104, Industrial Area Fazalganj, Kalpi Road  Kanpur - 208012)  ,Packer's Name & Address,Leayanglobal Private Limited (OFFICE -Plot no-102,103,104, Industrial Area Fazalganj, Kalpi Road  Kanpur - 208012)  ,Marketer's Name & Address, ,Importer's Name & Address,NA  ","
MENS SHOE H20006-A",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/j/r/q/FURO-Hiking-Gray-Running-Shoes-SDL469040110-2-e311e.jpg,https://n1.sdlcdn.com/imgs/j/r/q/FURO-Hiking-Gray-Running-Shoes-SDL469040110-3-96cb2.jpg,https://n2.sdlcdn.com/imgs/j/r/q/FURO-Hiking-Gray-Running-Shoes-SDL469040110-4-2b9ed.jpg,https://n2.sdlcdn.com/imgs/j/r/q/FURO-Hiking-Gray-Running-Shoes-SDL469040110-5-f68da.jpg,https://n2.sdlcdn.com/imgs/j/r/q/FURO-Hiking-Gray-Running-Shoes-SDL469040110-6-88729.jpg"
